age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,passed
15,4,3,1,3,0,5,4,3,1,1,4,0,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,1
16,2,2,2,2,0,4,4,4,1,1,5,0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,1
15,4,4,1,1,0,3,3,4,2,3,5,0,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,1
17,3,1,2,2,3,5,4,4,1,1,5,2,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,1
16,2,1,1,1,0,4,5,2,1,1,5,4,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,1
17,4,2,1,2,0,5,5,5,1,3,5,0,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,False,0
17,2,2,1,3,0,3,4,3,1,1,3,8,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,True,1
17,3,2,2,2,2,4,4,4,1,4,3,4,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,0
18,4,4,3,2,0,3,2,2,4,2,5,0,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,True,0
16,1,1,2,1,0,4,2,2,4,3,2,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,True,1
16,4,4,1,2,0,4,3,4,1,2,3,4,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True,0
18,3,1,2,1,0,3,3,4,4,5,4,2,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,1
17,3,2,2,1,0,4,3,3,2,2,1,5,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,1
15,3,4,1,1,0,3,4,3,1,2,4,2,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,1
16,2,3,1,2,0,2,3,1,1,1,3,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,1
16,0,2,2,1,0,3,2,3,1,2,2,0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,1
18,2,2,2,3,0,4,2,1,1,1,4,5,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,1
15,1,2,1,2,0,2,3,4,2,4,1,6,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1
15,2,1,1,1,0,4,3,3,1,2,5,11,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False,1
16,3,3,2,2,0,4,4,5,1,1,4,0,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,1
18,2,2,3,2,1,4,3,3,1,1,4,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,0
17,2,2,1,1,0,5,1,3,1,2,5,5,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,True,False,0
17,4,3,1,2,0,3,2,3,1,2,3,0,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,1
15,2,2,1,3,0,4,5,2,1,1,3,0,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,True,1
17,4,4,1,3,0,4,4,3,1,2,5,0,True,True,True,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,False,1
18,2,2,2,2,0,4,3,5,1,1,1,2,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,1
17,1,2,1,1,1,5,3,5,5,5,1,12,True,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,0
16,3,3,1,1,0,4,3,2,3,4,5,0,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,False,1
18,2,2,1,2,0,4,4,4,1,3,3,11,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,1
16,2,2,2,2,0,4,4,2,1,1,3,6,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,1
16,4,4,1,1,0,5,3,4,1,2,1,4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,1
18,1,1,1,2,0,5,2,3,1,2,3,2,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,1
17,4,3,2,2,0,5,5,4,1,1,1,0,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,1
15,4,2,1,2,0,4,3,3,2,2,5,4,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,1
16,1,1,4,4,0,4,3,2,1,1,1,0,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,1
16,2,3,2,2,0,3,3,3,1,1,2,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,True,True,False,1
15,3,4,2,3,0,4,2,2,2,2,5,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,True,1
18,2,1,1,2,0,5,2,4,1,2,4,2,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,True,True,False,1
17,2,1,2,3,0,3,2,3,1,2,3,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,1
18,3,3,2,2,0,4,3,2,1,3,3,6,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,True,True,1
16,2,3,3,2,0,4,5,4,1,2,1,2,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,1
16,2,2,2,4,0,5,3,5,1,1,5,6,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,False,1
16,1,1,3,2,0,5,3,2,1,1,1,0,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,1
16,3,3,1,2,0,4,3,2,1,2,5,0,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,1
16,4,4,2,3,0,5,3,5,1,4,5,1,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,True,1
17,3,3,1,2,0,5,3,3,2,3,1,32,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,1
18,1,1,2,1,1,3,2,3,1,1,2,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,1
19,2,3,2,1,1,2,2,3,3,4,5,16,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,1
17,4,1,1,1,0,4,2,3,1,2,5,1,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,1
18,3,2,1,1,1,2,3,1,2,2,5,0,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0
16,1,2,2,1,0,5,4,5,1,4,2,0,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,1
17,3,1,1,3,0,3,4,3,2,3,5,0,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,1
19,4,2,2,2,0,5,4,4,1,1,1,9,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,1
17,3,2,1,2,0,4,4,4,1,2,5,10,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,1
18,3,3,2,1,1,4,1,1,1,1,3,14,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0
17,4,1,1,1,0,3,2,2,1,1,5,0,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,0
17,1,1,1,2,0,5,3,3,1,1,3,2,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,1
18,2,4,2,2,1,4,3,3,1,1,3,18,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,1
15,1,1,3,1,0,4,3,3,1,2,4,6,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,1
17,4,4,1,2,0,2,3,4,1,1,1,4,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,1
17,4,3,2,2,0,4,4,4,4,4,4,0,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,1
16,2,1,1,2,0,5,3,4,1,1,2,2,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,True,1
15,2,2,2,2,0,5,3,3,1,3,4,2,False,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False,1
17,4,2,2,2,0,4,3,3,2,3,5,0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,1
19,1,1,3,1,1,4,4,4,3,3,5,4,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,1
17,4,3,2,2,1,4,5,5,1,3,2,4,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,True,True,True,1
17,1,1,2,1,0,3,5,5,2,2,4,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,1
17,1,1,2,1,1,4,4,4,1,2,5,0,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,1
17,4,4,1,1,0,4,2,1,1,2,5,6,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,0
15,4,4,2,2,0,4,4,3,1,1,2,4,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,False,False,1
18,2,2,2,4,0,4,4,4,1,1,4,6,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,1
18,3,2,1,3,0,4,3,4,1,2,2,5,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,1
17,1,1,2,3,0,4,3,3,1,1,1,2,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,1
16,1,1,2,2,0,3,4,2,1,1,5,2,False,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,0
16,2,3,1,2,0,4,3,3,1,1,2,6,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,1
15,4,4,1,1,0,5,3,3,1,1,5,2,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,1
18,1,1,2,2,0,4,3,3,1,4,5,6,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,1
